,screen_name,hotttnesss,id,artist
0,arcadefire,0.959746,ARFC93D1187FB49D2E,Arcade Fire
1,,0.952376,AR0IVTL1187B9AD520,Katy Perry
2,Eminem,0.945441,ARTH9041187FB43E1F,Eminem
3,lordemusic,0.942642,ARUXAKW13D610B0A9B,Lorde
4,Avicii,0.940199,ARWLAEE122BCFCA245,Avicii
5,,0.938571,ARYAVBS1187FB5B46C,Miley Cyrus
6,ladygaga,0.926316,ARX6TAQ11C8A415850,Lady Gaga
7,,0.90703,ARODZUF11F4C841E1F,Drake
8,Imaginedragons,0.905983,ARRVRFP126FE025327,Imagine Dragons
9,LanaDelRey,0.905385,ARICLSK131AAE25F5E,Lana Del Rey
10,,0.900241,ARF8HTQ1187B9AE693,Daft Punk
11,,0.900222,ARKTTJV12592CDA07F,Ellie Goulding
12,robinthicke,0.900195,AROETUE1187FB4A677,Robin Thicke
13,onedirection,0.89952,ARZHFAY130708EE366,One Direction
14,britneyspears,0.898823,AR03BDP1187FB5B324,Britney Spears
15,BrunoMars,0.898684,ARJHCSL123E29C21E8,Bruno Mars
16,OneRepublic,0.895344,AR73S4G1187B9A03C2,OneRepublic
17,jtimberlake,0.894973,ARWK5QH1187B9A9B7F,Justin Timberlake
18,ArcticMonkeys,0.893465,ARM0P6Z1187FB4D466,Arctic Monkeys
19,rihanna,0.892717,ARKU3Z61187FB51DCA,Rihanna
20,jasonderulo,0.891253,ARICFET123E29C2452,Jason Derülo
21,CalvinHarris,0.885646,ARJRB241187FB556A3,Calvin Harris
22,,0.884397,ARZEHLK12DDD1882BF,Macklemore & Ryan Lewis
23,MartinGarrix,0.882746,ARAGGUA136E57105F8,Martin Garrix
24,passengermusic,0.882349,ARMTZR11187B9AD0C2,Passenger
25,,0.882334,ARFVYJI1187B9B8E13,Pearl Jam
26,justinbieber,0.881963,ARFCWSZ123526A0AFD,Justin Bieber
27,capitalcities,0.881834,ARGBGCB12CF58F79BE,Capital Cities
28,JohnNewmanMusic,0.880855,ARNWGMK1241B9C9CE2,John Newman
29,,0.87881,ARLGNCZ1269FCD4F62,Stromae
30,DirtyLilBlunt,0.876449,ARS57XV1187B9B8535,James Blunt
31,Pitbull,0.875944,ARK9BHE1187FB3AC9D,Pitbull
32,Pink,0.874734,ARZRYXF1187FB555CC,P!nk
33,,0.873246,ARS54I31187FB46721,Taylor Swift
34,BASTILLEdan,0.868897,ARZT6MQ1187FB56487,Bastille
35,AvrilLavigne,0.867785,ARY53RR1187B9AE485,Avril Lavigne
36,davidguetta,0.866272,ARH2QI91187FB3788D,David Guetta
37,,0.865826,ARUHTMR1269FCD5A27,Ylvis
38,JamesArthur23,0.865246,ARNJPHY12FE0869042,James Arthur
39,selenagomez,0.864422,ARZ5NER11A348F0B33,Selena Gomez
40,iconapop,0.861703,ARMXUUI12E9676D850,Icona Pop
41,NaughtyBoyMusic,0.858578,ARDWQVL1187FB3771D,Naughty Boy
42,OfficialAdele,0.857546,AR7J9AP1187FB5BD64,Adele
43,PaulMcCartney,0.856852,AR9ZLJJ1187FB5BC16,Paul McCartney
44,Zedd,0.855864,ARTQFNZ12E2A671BBF,Zedd
45,OfficialBirdy,0.852087,ARRJRIS1187B9AD39C,Birdy
46,HAIMtheband,0.850693,ARY6OP91187B9A55FE,Haim
47,linkinpark,0.84884,ARQUMH41187B9AF699,Linkin Park
48,LouReed,0.847814,ARO5T1P1187B9AC680,Lou Reed
49,maroon5,0.847207,ARF5M7Q1187FB501E8,Maroon 5
50,,0.845744,ARDCFNZ1187FB3DDB0,Enrique Iglesias
51,arminvanbuuren,0.845704,AR0W7561187FB57131,Armin van Buuren
52,MarcAnthony,0.8448,ARXM0CX1187B98FD56,Marc Anthony
53,,0.84425,AR65K7A1187FB4DAA4,Beyoncé
54,,0.843753,ARD4ZPF11A348F0ACB,SHINee
55,ddlovato,0.843741,ARUCF6P11A348F0B17,Demi Lovato
56,coldplay,0.842819,ARJ7KF01187B98D717,Coldplay
57,paramore,0.841467,AR4OU721187FB4549D,Paramore
58,ollyofficial,0.84138,ARGLFXO12592CDB6B4,Olly Murs
59,awolnation,0.840083,ARJVYUI12AA0D8C20C,AWOLNATION
60,official_flo,0.839649,AR1IJ1Z11C8A41500D,Flo Rida
61,,0.83955,ARNNM56119B86686EA,Luke Bryan
62,KingsOfLeon,0.839169,ARF2EHS1187B994F4E,Kings of Leon
63,IBGDRGN,0.838516,ARSLNAC123E29C256C,G-Dragon
64,thelumineers,0.836348,ARDWDTB12CAE3A9816,The Lumineers
65,chrisbrown,0.835919,ARXOTQH1187FB57084,Chris Brown
66,,0.835641,ARASIMV1257509D792,Prince Royce
67,iamwill,0.834285,ARCLAF01187FB39AA6,will.i.am
68,CHVRCHES,0.833085,ARCZOJQ13A5B8886AB,CHVRCHES
69,Metallica,0.832087,ART5MUE1187B98C961,Metallica
70,,0.829434,ARGIDFN11E2835C91A,IU
71,,0.82928,ARDDMYP1187B9B8AE4,M.I.A.
72,JessieJ,0.828534,ARWWTYW11F4C842642,Jessie J
73,duttypaul,0.828472,ARGQL2Q1187B9B0149,Sean Paul
74,falloutboy,0.828321,ARSG7NQ1187FB57482,Fall Out Boy
75,PanicAtTheDisco,0.827717,ARL6FF81187FB5A916,Panic! At the Disco
76,johnlegend,0.827702,ARHDI7O1187B9B6850,John Legend
77,S_C_,0.827281,ARLGIX31187B9AE9A0,Jay-Z
78,cher,0.826867,AR4VT3E1187FB570BB,Cher
79,RomeoSantosPage,0.824883,AREUJEI12FE0876ED5,Romeo Santos
80,thewanted,0.82462,AR34CBO1187FB41B88,The Wanted
81,ArianaGrande,0.824537,AROHQCR13244CF7152,Ariana Grande
82,FLAGALine,0.824472,ARIUOBQ12BE4890CD5,Florida Georgia Line
83,daddy_yankee,0.824196,ARBNXYA1187FB51C50,Daddy Yankee
84,kendricklamar,0.82397,AREJQVO12C1DF51FFE,Kendrick Lamar
85,,0.822512,ARMBTFC1187FB56343,Korn
86,depechemode,0.82226,AR6LZB61187B9AF431,Depeche Mode
87,,0.821853,ARVQ9FE1187FB419A9,Showtek
88,,0.82182,ARNDRBI122BCFCC2E3,The XX
89,thenbhd,0.821299,ARRFDAA12472CE3191,The Neighbourhood
90,,0.820979,ARL4TII1187B9B46E1,Queen
91,macklemore,0.820942,AR2XDHU1187B9B484F,Macklemore
92,laorejadevgogh,0.820514,ARBHW3X1187B999013,La Oreja de Van Gogh
93,blakeshelton,0.819392,ARV9LSS1187B98C471,Blake Shelton
94,chaseandstatus,0.819305,AR62SOJ1187FB47BB5,Chase & Status
95,thekillers,0.81833,ARVG4OK1187B9B6BD3,The Killers
96,RudimentalUk,0.818212,ARPXEKG121318C5A25,Rudimental
97,,0.817413,ARLKQ581187FB5B4DE,Casper
98,,0.817412,ARPVJVZ12FE085D726,2 Chainz
99,michaeljackson,0.817399,ARXPPEY1187FB51DF4,Michael Jackson
100,Fergie,0.817206,ARMRCET1187FB52049,Fergie
101,,0.816751,ARNBGK01187B98EF43,Exo
102,,0.816723,ARNKHIF13D3E92728E,London Grammar
103,,0.81667,ARFWL8S1187B9B4B44,Céline Dion
104,IGGYAZALEA,0.816537,ARBJMMW136E570FA06,Iggy Azalea
105,LittleMixOffic,0.815626,ARONVKP134198E55ED,Little Mix
106,,0.815512,ARLVBQP139FF6C6B26,Klangkarussell
107,,0.815262,AR6892W1187B9AC71B,Placebo
108,,0.814985,ARZENOX1187B98A645,John Mayer
109,,0.814186,ARDPL611187FB3D4F7,Perfume
110,kelly_clarkson,0.813799,ARJGIOD1187B9AE920,Kelly Clarkson
111,,0.813238,ARY5UO61187FB5271F,Elisa
112,,0.812619,ARNUUVP1187FB3D618,AKB48
113,KeithUrban,0.812517,AR95IYB1187FB3FE0B,Keith Urban
114,JColeNC,0.812512,ARFIDHF12496DAB7E1,J. Cole
115,,0.81232,ARRDJXT12472CE3481,Alligatoah
116,pabloalboran,0.811179,AROOLMX12AF7DA3659,Pablo Alboran
117,,0.811141,ARH3S5S1187FB4F76B,Nirvana
118,aliciakeys,0.81113,AR52EZT1187B9900BF,Alicia Keys
119,,0.810758,ARWR05M1187B9951A2,AC/DC
120,thebeatles,0.810456,AR6XZ861187FB4CECD,The Beatles
121,the1975,0.810444,AROJAOG1391FF1AFE1,The 1975
122,majorlazer,0.809809,ARLGOUD12298900ACE,Major Lazer
123,,0.808679,ARVKMMF133F5CF74A6,A$AP Rocky
124,ConorMaynard,0.808266,ARDJJYW13385834F77,Conor Maynard
125,,0.807148,ARJJHLM120AB95EB8C,EXILE
126,BigSean,0.806991,ARGG7S81187FB511E9,Big Sean
127,,0.806454,ARFRFJX13DFF684D25,Klingande
128,NICKIMINAJ,0.806101,ARDYVEQ122BCFCC19E,Nicki Minaj
129,jason_mraz,0.806046,ARML3X41187FB35F2E,Jason Mraz
130,,0.805916,ARP6DKX1187FB55C12,Future
131,,0.805671,ARM6Y7F1187B9A3E2F,Giorgia
132,MumfordAndSons,0.805063,ARJERLY11E2835D7DC,Mumford and Sons
133,,0.804671,ARC9CR51187FB51A13,Avenged Sevenfold
134,_MaluOficial_,0.804619,AR0R2CT1187FB4E64E,Malú
135,swedishousemfia,0.804454,ARIKUPL128ABE0F30B,Swedish House Mafia
136,alexoficial,0.804034,ARUXOWB1187FB3F562,Alejandro Fernández
137,tompeterodell,0.803936,ARZXLZX13ADD34AAD1,Tom Odell
138,Jason_Aldean,0.803855,ARH6BN71187B990C51,Jason Aldean
139,,0.80383,AROIOQH13CDB8274B6,Anitta
140,,0.803797,ARZHOMO13A1DC8A72B,Bakermat
141,gunsnroses,0.803601,ARM7EDF1187B9B3FA1,Guns N' Roses
142,TinieTempah,0.802608,ARHTUZB11F50C4C14C,Tinie Tempah
143,Skrillex,0.802574,ARUAMGA123E29C15AD,Skrillex
144,_danielmartin_,0.802262,ARS6VTP1187B9A321A,Dani Martín
145,,0.802211,ARHMGTX1241B9C4D5C,Glee Cast
146,,0.802143,ARTUD3U1187FB41695,Sunrise Avenue
147,fleetwoodmac,0.802116,AR6BJ1V1187B9AE3B7,Fleetwood Mac
148,Franz_Ferdinand,0.802096,ARYVO9V1187B9B1FC6,Franz Ferdinand
149,,0.800871,ARNUTPQ1391FF1B89C,Maitre Gim's
150,,0.800621,ARPCATO12B3B3540E2,Disclosure
151,radiohead,0.800365,ARH6W4X1187B99274F,Radiohead
152,SaraBareilles,0.800336,ARQ32IT1187FB589D3,Sara Bareilles
153,jackjohnson,0.799776,ARC8CQZ1187B98DECA,Jack Johnson
154,ChiliPeppers,0.799769,ARE8GLF1187FB52532,Red Hot Chili Peppers
155,thescript,0.799746,ARKMQ0K11C8A4224DF,The Script
156,xtina,0.79962,AR0S7TA1187FB4D024,Christina Aguilera
157,emelisande,0.799588,ARFRZTV125FEF32925,Emeli Sande
158,monstersandmen,0.799277,ARJLJNQ131B421B438,Of Monsters and Men
159,LilTunechi,0.79915,ARUDYKB11F4C83C269,Lil Wayne
160,TDCinemaClub,0.79897,ARTZBIR11E2835CB43,Two Door Cinema Club
161,ThomasRhett,0.798851,ARNPFHG13544FB4F3E,Thomas Rhett
162,TheSaturdays,0.798306,ARBCQ0V11C8A416015,The Saturdays
163,,0.797581,ARLUF1T1187FB3603B,Ricardo Arjona
164,michaelbuble,0.7975,ARN0YZ71187B9BA57B,Michael Bublé
165,,0.797346,ARJMGRN13F3ABCE000,Fifth Harmony
166,,0.797297,ARR3ONV1187B9A2F59,Muse
167,pinkfloyd,0.797144,ARD4C1I1187FB4B0C3,Pink Floyd
168,,0.796277,AR7ASIS11C8A416335,소녀시대
169,,0.796021,ARJA1841187FB3A029,David Bowie
170,shreyaghoshal,0.795924,ARFOKIY11F50C4C27E,Shreya Ghoshal
171,OfficialJackson,0.795603,AROWH4C1187B9B11CB,Alan Jackson
172,DizzeeRascal,0.795153,AROR26J1187B9AF4FB,Dizzee Rascal
173,,0.795049,ARMDNNP13D610B088F,Milky Chance
174,JLo,0.794777,AR7C6G11187B9B4C1E,Jennifer Lopez
175,,0.794651,ARCBD0U1187FB466EF,Nelly
176,carlyraejepsen,0.794115,ARRWGYU12086C17800,Carly Rae Jepsen
177,,0.793723,ARNWXZO123E29C26B1,F.T. Island
178,,0.79368,ARBEOHF1187B9B044D,Madonna
179,psy_oppa,0.793622,ARC0TEH1187B9AA1A7,Psy
180,EmpireOfTheSun,0.793415,ARD063K11C8A422ED7,Empire of the Sun
181,,0.793098,ARDLXKN122ECCB85EC,ALTJ
182,,0.792871,ARDMNGB136F6F0C30A,LIGABUE
183,GavinDeGraw,0.792726,ARFONB81187B994D01,Gavin DeGraw
184,ricky_martin,0.792444,AR2FSX31187B98E3EF,Ricky Martin
185,LMFAO,0.792432,ARVKJGO12086C15075,LMFAO
186,thelittleidiot,0.791905,ARPT0RR1187FB527E1,Moby
187,RizzleKicks,0.791897,ARRPSVR12F310EFDBD,Rizzle Kicks
188,,0.791634,ARK6BYV1187B9A4487,Juicy J
189,,0.790831,AR8QWS71187B9A7BD5,Mika
190,JakeBugg,0.790709,ARLLAHI12FE55ACBDE,Jake Bugg
191,zoetheband,0.790634,ARCC8ZY1187FB36D19,Zoé
192,OfficialSting,0.790612,ARUN2OO1187B9A7BF3,Sting
193,,0.79033,ARVIPXX122BCFC9CF5,西野カナ
194,RollingStones,0.790212,ARFCUN31187B9AD578,The Rolling Stones
195,eltonjohndotcom,0.790085,ARTB3OO1187FB49BDA,Elton John
196,ledzeppelin,0.788932,ARDIBRT1187B9AF176,Led Zeppelin
197,,0.78881,ARG8E041187B98B941,Chris Young
198,,0.788466,ARRH63Y1187FB47783,Kanye West
199,joshuawoodard,0.788376,AROBSHL1187B9AFB01,A Day to Remember
200,,0.787506,ARBFQ7L1187B9ACD48,The Velvet Underground
201,ladyantebellum,0.786813,ARFJXKQ119B86694AF,Lady Antebellum
202,GreenDay,0.786454,ARV3CRH1187B9A1B21,Green Day
203,inna_ro,0.786131,AROPZVY11E2835D3D3,Inna
204,mangeshkarlata,0.785858,ARBVKHX1187FB42704,Lata Mangeshkar
205,TheTimMcGraw,0.785631,ARDR3K91187B9B04EB,Tim McGraw
206,djhavanabrown,0.785552,ARPEOOJ130708ED2BC,Havana Brown
207,WilkinsonUK,0.785349,ARONACB122988F448B,Wilkinson
208,nineinchnails,0.785348,ARK9TRQ1187B99C095,Nine Inch Nails
209,,0.785291,ARNTT821187FB563F3,安室奈美恵
210,,0.785263,ARHFFED1358777FB08,Block B
211,LykkeLi,0.785162,ARGHEC01187FB597B0,Lykke Li
212,,0.784919,ARW9KDZ1187B9A9623,Janelle Monáe
213,,0.784811,ARMOEGR13BDAE33C17,Sage The Gemini
214,,0.784381,ARIGDMX1269FCD4CFB,Cro
215,AlejandroSanz,0.784345,ARQATCR1187FB4D3E6,Alejandro Sanz
216,Zendaya,0.784342,ARSVURZ130708ED83A,Zendaya
217,steveaoki,0.784279,ARG420G1187FB5B636,Steve Aoki
218,agnesobel,0.784252,ARVNJUA12A100438FC,Agnes Obel
219,christinaperri,0.784045,ARFDKIH129F1DDFB09,Christina Perri
220,wizkhalifa,0.783989,ARN0GFV1187FB508CC,Wiz Khalifa
221,whoisMGMT,0.783861,ARI3Y821187FB3649C,MGMT
222,,0.783579,ARLAUED1187B9ACEAF,Eric Clapton
223,,0.783576,AROLBIR1187B9B37B7,Melendi
224,Alesso,0.783272,ARFBFYB12C60E4E610,Alesso
225,jessicamauboy,0.782921,ARADJIW11E2835CD24,Jessica Mauboy
226,theblackkeys,0.782857,ARS8GNX1187B9B5141,The Black Keys
227,,0.782719,ARNCHOP121318C56B8,Florence + The Machine
228,,0.782653,ARZEARV12EFE49A3AA,Woodkid
229,subfocus,0.782497,ARZRR0M1187FB3EE0A,Sub Focus
230,,0.782383,AROV8WG1187B9B2262,Mohit Chauhan
231,LawsonOfficial,0.782288,ARR5SUM1187B9B0EB6,Lawson
232,shakira,0.782161,AR6PJ8R1187FB5AD70,Shakira
233,teganandsara,0.782124,ARAI3JW1187FB52DE1,Tegan and Sara
234,m83news,0.781845,ARB6OGR1187FB4D43D,M83
235,30SECONDSTOMARS,0.78171,ARRBF3M1187FB4D59F,30 Seconds to Mars
236,CageTheElephant,0.781303,AR12DMP11C8A41577B,Cage the Elephant
237,evanescence,0.781187,ARVXU2X1187B9AE6D8,Evanescence
238,theweeknd,0.781082,ARYUDWF12F2B89BB33,The Weeknd
239,BANDARECODITOSS,0.781042,ARSEQID1257509B3F8,Banda Los Recoditos
240,krewellayasmine,0.781006,AROAMZN136AE412B2D,Krewella
241,thebosshoss,0.780675,AR3YFNN1187FB45BA8,The BossHoss
242,,0.780283,ARRPJH611C8A415E6E,K.will
243,,0.780124,ARDVZTE1187FB5A0A1,Bon Jovi
244,,0.780058,ARZBOES1187FB40178,Carlos Baute
245,pamyurin,0.779836,ARWFTNN135592016AB,きゃりーぱみゅぱみゅ
246,scandal_band,0.779019,ARIE45X1187FB475B1,Scandal
247,,0.778971,AROBEGP12406A89D26,f(x)
248,luansantana,0.77892,ARBDJZA129CDD17965,Luan Santana
249,CassadeePope,0.778848,ARHVHLA128ABE0F252,Cassadee Pope
250,,0.778812,ARQWODP13833B911EA,Alex Hepburn
251,dimitrivegas,0.778785,ARPMQIO1241B9C506A,Dimitri Vegas
252,follow_2PM,0.778332,ARWFL7N1187B9B9DA6,2PM
253,davidbisbal,0.778255,ARZJYD61187B995F0B,David Bisbal
254,JuanMaganMusic,0.777596,AR912GD1187B9B9B0F,Juan Magan
255,wearephoenix,0.777539,ARYJSHW1187FB407A3,Phoenix
256,vampireweekend,0.777485,AR2ZPMX1187FB4E4B6,Vampire Weekend
257,Phillips,0.777288,ARYHUGE137E73EDDC3,Phillip Phillips
258,SunidhiChauhan5,0.776882,ARQBTLK1187FB4058D,Sunidhi Chauhan
259,,0.776613,AR2E3LI1187FB38797,DJ Antoine
260,,0.776408,ARTASUV1187B9A2B67,Frank Sinatra
261,,0.776236,ARRYUAC126FC9C0EF2,Tan Bionica
262,bobmarley,0.776214,ARAZCWP129462A97F1,Bob Marley
263,,0.776169,ARLQFWU12AA0D9194B,Banda Sinaloense MS de Sergio Lizárraga
264,,0.776152,AR5FP401187FB523C9,Bob Dylan
265,tylerfarr,0.776127,ARQDJCJ12B3B352387,Tyler Farr
266,,0.776045,ARLF2G11187FB4E744,Los bunkers
267,,0.775933,ARGUYNJ11C8A41506B,Tyga
268,Kodaline,0.775659,ARNYDEE138BF7CCD76,Kodaline
269,edsheeran,0.775611,ARSDWSZ122ECCB706A,Ed Sheeran
270,VitaaOfficiel,0.775543,AR4IGQS1187FB4E11B,Vitaa
271,Nickelback,0.775506,ARPAAHK1187B9ABB00,Nickelback
272,Kid_Ink,0.775344,ARFJXBN12F0DAC3E88,Kid Ink
273,FamilyoftheYear,0.77484,AROOWYT12472CE2A92,Family of the Year
274,SnoopDogg,0.774494,ARZ5H0P1187B98A1DD,Snoop Dogg
275,oasis,0.774308,ARBUOOR1187B997391,Oasis
276,tiesto,0.774059,ARIW30O1187FB5A29A,Tiësto
277,aloeblacc,0.773997,ARKS0051187FB43934,Aloe Blacc
278,vascorossi,0.773796,ARM2HZ11187B990231,Vasco Rossi
279,,0.773791,ARAEJEW12F9C54D2E5,B1A4
280,foofighters,0.773752,AR6XPWV1187B9ADAEB,Foo Fighters
281,ciara,0.77346,ARS2P621187FB37B82,Ciara
282,Babasonicos_,0.773402,ARZF3GM1187B9B952F,Babasónicos
283,,0.773337,ARGKMRT12AF7D8F9F2,Sistar
284,Gusttavo_lima,0.773098,ARIUBQI12FE55ACCF1,Gusttavo Lima
285,,0.772998,ARSJUTZ1187B9B4DFC,O Rappa
286,,0.772956,ARSB75R1187B98FB22,Laura Pausini
287,karminmusic,0.77282,ARLLZVV12B68CA0491,Karmin
288,,0.772582,ARC8U4E1187FB5BFA9,Bring Me the Horizon
289,CPM22,0.772319,ARTJFCN1187B9987CB,CPM 22
290,,0.772295,ARH861H1187B9B799E,Johnny Cash
291,Ayaka_1218,0.772059,ARUR0AL1187B9A72C5,絢香
292,,0.771933,ARX6MR511C8A42C159,Afrojack
293,,0.771868,ARATWKK1271F576926,Marco Mengoni
294,,0.771858,ARWTHDN12592CDB904,T-ara
295,AFI,0.771745,AR2FAMK1187FB4CF60,AFI
296,HunterHayes,0.771574,ARDUQLE1187FB4FB7B,Hunter Hayes
297,TriviumOfficial,0.771485,ARJBWQI1187B9B17D1,Trivium
298,TamarBraxtonHer,0.771312,AR9WTG51187FB5C7C5,Tamar Braxton
299,RamazzottiEros,0.771296,ARIGWNC1187FB57B6B,Eros Ramazzotti
300,djkhaled,0.771278,ARPVZTA1187B9A63A8,DJ Khaled
301,JoeNichols,0.770967,ARCLPC51187FB52F2D,Joe Nichols
302,,0.770875,ARKX8XA1187B9B0F76,Gloria Trevi
303,DVBBS,0.770844,ARUXSAC136E570E79A,Dvbbs
304,fettesbrot,0.770724,AR7CE7R1187FB43103,Fettes Brot
305,,0.770696,ARPDVPJ1187B9ADBE9,Usher
306,systemofadown,0.770293,AR9C8IE1187B9ACC99,System of a Down
307,,0.770088,ARO6WM51187B9AC0B1,Cheek
308,flumemusic,0.769729,ARRRSNG1242077E912,Flume
309,keaneofficial,0.76965,ARHHUDL1187B997966,Keane
310,,0.769453,ARIH7181187FB4F5A8,Juju
311,theavettbros,0.769437,AR0QQGK1187FB4D5CB,The Avett Brothers
312,,0.769434,ARMJUDK1229890080B,Alessandra Amoroso
313,carlosvives,0.769207,ARLAWDD1187FB48367,Carlos Vives
314,,0.769044,AR5D7JS1187B98C01A,Charlie Brown Jr.
315,billycurrington,0.768922,AR4DW2Q1187FB44DB6,Billy Currington
316,fosterthepeople,0.768617,ARQEQMV129CDD179D8,Foster the People
317,,0.768503,AR3ETJY1187B98ED15,Darius Rucker
318,MiguelUnlimited,0.768094,ARO7NLC1187B99415E,Miguel
319,,0.767805,ARPXBWB119B8668886,Sonu Nigam
320,,0.767774,AR8WV031187FB3F903,Basshunter
321,skyferreira,0.767619,ARNAYWN128FFBAD713,Sky Ferreira
322,,0.767608,ARCOKBX122E6447DFC,2NE1
323,,0.767527,ARXGKXE13CABFC507C,Vance Joy
